point_id,point,date,datapoint_id,p-a,individuals,section_id,dfbs
p01,POINT (-68.03133 42.83433),2019-01-25,d01,1,1.0,,
p02,POINT (-68.337 42.835330000000006),2019-01-25,d02,1,2.0,,
p04,POINT (-68.74517000000002 42.585829999999994),2019-03-02,d04,1,1.0,,
p05,POINT (-68.60333000000001 42.58583),2019-03-02,d05,1,2.0,,
p06,POINT (-68.844 42.5025),2019-03-02,d06,1,1.0,,
p08,POINT (-67.11783000000001 42.58267),2019-03-05,d08,1,5.0,,
p10,POINT (-67.25083 42.58366999999999),2019-03-05,d10,1,1.0,,
p11,POINT (-67.4285 42.500499999999995),2019-03-05,d11,1,3.0,,
p13,POINT (-67.639 42.416999999999994),2019-03-05,d13,1,4.0,,
a01,POINT (-68.57536869936396 42.835500029632094),2019-01-25,,0,,s1,45393.96110221421
a02,POINT (-68.71561343509825 42.835670024496544),2019-01-25,,0,,s1,56856.9223863963
a06,POINT (-68.91498652741815 42.835330006473335),2019-01-25,,0,,s1,73151.62611500423
a08,POINT (-67.87918385451975 42.750330029086946),2019-01-30,,0,,s2,81208.4483532071
a09,POINT (-68.25881370838519 42.75200000934066),2019-01-30,,0,,s2,112282.19931693318
a11,POINT (-68.85262440989325 42.75200001473979),2019-01-30,,0,,s2,160880.80846208392
a14,POINT (-68.3050630867676 42.58567003198485),2019-03-02,,0,,s3,229232.50969609813
a15,POINT (-68.03838210248148 42.58483001713826),2019-03-02,,0,,s3,251119.97888142327
a17,POINT (-67.81238477066819 42.51186755542188),2019-03-02,,0,,s3,276735.97618510504
a19,POINT (-67.96067445705255 42.50137724325021),2019-03-02,,0,,s3,289777.99567070836
a24,POINT (-68.14085581634076 42.5023300215852),2019-03-02,,0,,s3,304586.0282792821
a27,POINT (-68.4858512635234 42.50300002672966),2019-03-02,,0,,s3,332934.77142271877
a31,POINT (-68.6944374001885 42.50283002343353),2019-03-02,,0,,s3,350074.19298230694
a32,POINT (-67.08317000075033 42.861844356280386),2019-03-05,,0,,s4,378881.87017379416
a35,POINT (-67.20489237966905 42.75017000807122),2019-03-05,,0,,s4,400954.9557020093
a39,POINT (-67.40136533242612 42.75033001672462),2019-03-05,,0,,s4,417039.0370373608
a41,POINT (-67.66789719827376 42.75017001789455),2019-03-05,,0,,s4,438858.85692089674
a45,POINT (-67.59928388953854 42.667000002593745),2019-03-05,,0,,s4,466700.27175009454
a48,POINT (-67.46174398899015 42.667170004001505),2019-03-05,,0,,s4,477973.6687413173
a51,POINT (-67.66525860313426 42.583500012449434),2019-03-05,,0,,s4,565443.460172918
a58,POINT (-67.58897517026327 42.5003300100674),2019-03-05,,0,,s4,593716.2067411534
a59,POINT (-67.17829293015971 42.50033003909847),2019-03-05,,0,,s4,627469.1186896113
a60,POINT (-67.0840625737261 42.421204910397286),2019-03-05,,0,,s4,643526.9714838333
a65,POINT (-67.34946618277331 42.4171700092386),2019-03-05,,0,,s4,665570.5136261873
