point_id,point,date,datapoint_id,p-a,individuals,point_al,section_id,dfbs
p01,POINT (-68.03021134220532 42.84288175475286),2019-01-25,d01,1,1.0,,,
p02,POINT (-68.31846467490494 42.79058800855512),2019-01-25,d02,1,2.0,,,
p03,POINT (-68.4090221378327 42.862013613117874),2019-01-25,d03,1,5.0,,,
p04,POINT (-68.73298827281369 42.660491371673),2019-03-02,d04,1,1.0,,,
p05,POINT (-68.5454960608365 42.6388085988593),2019-03-02,d05,1,2.0,,,
p06,POINT (-68.82609665019011 42.52019107699619),2019-03-02,d06,1,1.0,,,
p07,POINT (-68.95874420152091 42.48065190304182),2019-03-02,d07,1,3.0,,,
p08,POINT (-67.11698396958174 42.59161668155893),2019-03-05,d08,1,5.0,,,
p10,POINT (-67.25983517870722 42.612023997148285),2019-03-05,d10,1,1.0,,,
p11,POINT (-67.42181824619772 42.525292905893544),2019-03-05,d11,1,3.0,,,
p13,POINT (-67.6309932309886 42.424531785171084),2019-03-05,d13,1,4.0,,,
a01,POINT (-68.17754626027332 42.838281420937655),2019-01-25,,0,,POINT (567198.5445719849 4742815.756365811),s1,12896.029336533878
a02,POINT (-68.60423459397431 42.8383817028191),2019-01-25,,0,,POINT (532344.1230743601 4742623.567290779),s1,47753.075863614344
a05,POINT (-68.73645100100767 42.840703972805926),2019-01-25,,0,,POINT (521538.6121731414 4742600.173448814),s1,58559.88366669972
a06,POINT (-68.88251454251477 42.83930929259323),2019-01-25,,0,,POINT (509601.552722807 4742554.311152255),s1,70497.44834657767
a10,POINT (-67.97388850223109 42.75571955280947),2019-01-30,,0,,POINT (583974.1614572223 4733655.9550426295),s2,88960.83497875668
a13,POINT (-68.48690564080574 42.750168741463355),2019-01-30,,0,,POINT (541989.0962852702 4733439.690965867),s2,130949.48246305324
a18,POINT (-68.68500900996821 42.75673289804249),2019-01-30,,0,,POINT (525799.3219441654 4733370.66974669),s2,147139.99572411625
a20,POINT (-68.957605131953 42.757098230633005),2019-01-30,,0,,POINT (503469.40732310864 4733257.413552792),s2,169472.40354614682
a21,POINT (-68.95877878764425 42.58071908185065),2019-03-02,,0,,POINT (503382.3855594607 4714768.897718211),s3,175587.38855137848
a23,POINT (-68.32734313263175 42.59754814171112),2019-03-02,,0,,POINT (555194.1843807554 4715025.075700324),s3,227404.24858112016
a26,POINT (-68.13732348109468 42.58471976778723),2019-03-02,,0,,POINT (570786.7450624986 4715110.929496612),s3,242999.08934973596
a28,POINT (-67.82561314151862 42.58149848477662),2019-03-02,,0,,POINT (596403.9015037884 4715076.722203056),s3,268639.1590220509
a29,POINT (-68.08867162266641 42.50193698799078),2019-03-02,,0,,POINT (574878.2225674866 4705917.503150809),s3,300297.2500589207
a32,POINT (-68.30223099803631 42.50178747646593),2019-03-02,,0,,POINT (557330.6650565028 4705825.419258524),s3,317846.7229169416
a33,POINT (-68.45461713185193 42.507178643424886),2019-03-02,,0,,POINT (544809.9094419711 4705770.289388721),s3,330368.45584079373
a35,POINT (-68.63114274562223 42.500406343952065),2019-03-02,,0,,POINT (530306.1365108126 4705692.105804189),s3,344873.2689589223
a36,POINT (-67.08428425545387 42.89703274817577),2019-03-05,,0,,POINT (656500.4810194545 4751162.842160602),s4,374973.1626138772
a38,POINT (-67.07049409028346 42.79118795221945),2019-03-05,,0,,POINT (656767.9799282559 4739408.850537448),s4,386730.19773192616
a39,POINT (-67.42368094363852 42.75230075324113),2019-03-05,,0,,POINT (629003.108713728 4734313.600063869),s4,418866.23611505923
a40,POINT (-67.5603249721365 42.747592809541885),2019-03-05,,0,,POINT (617820.5248465084 4734094.881572783),s4,430053.58305457456
a43,POINT (-67.74237075909723 42.69093336284601),2019-03-05,,0,,POINT (602422.3111153694 4727252.237397172),s4,452021.6802114111
a46,POINT (-67.37338442029652 42.66912382121439),2019-03-05,,0,,POINT (633297.6046688287 4725138.232992008),s4,485215.9597899134
a49,POINT (-67.5375643203135 42.58119178735392),2019-03-05,,0,,POINT (620003.1699646519 4715637.946952458),s4,554962.7617400201
a54,POINT (-67.70775776039186 42.514290125785706),2019-03-05,,0,,POINT (606249.917965196 4706101.707731049),s4,584024.6026142321
a55,POINT (-67.09508379119028 42.44717307517724),2019-03-05,,0,,POINT (657661.649070761 4701207.948294342),s4,640626.6855928189
a58,POINT (-67.25150737104693 42.417504211483326),2019-03-05,,0,,POINT (643858.7858055971 4697557.806821839),s4,657508.6319472631
a63,POINT (-67.39010341643684 42.41999728085062),2019-03-05,,0,,POINT (632455.0331444205 4697351.190628495),s4,668914.6576486487
