lon,lat,datetime,individuals,season
-68.03133,42.83433,2019-01-25 10:18:32,1,winter
-68.337,42.83533,2019-01-25 10:26:55,2,winter
-68.40533,42.83533,2019-01-25 10:28:47,5,winter
-68.74517,42.58583,2019-03-02 12:50:31,1,spring
-68.60333,42.58583,2019-03-02 12:54:32,2,spring
-68.844,42.5025,2019-03-02 13:47:02,1,spring
-68.94267,42.50233,2019-03-02 13:49:42,3,spring
-67.11783,42.58267,2019-03-05 12:09:08,5,spring
-67.22483,42.58367,2019-03-05 12:12:21,2,spring
-67.25083,42.58367,2019-03-05 12:13:08,1,spring
-67.4285,42.5005,2019-03-05 12:38:20,3,spring
-67.53467,42.417,2019-03-05 13:03:00,2,spring
-67.639,42.417,2019-03-05 13:06:12,4,spring
