point_id,point,date,datapoint_id,p-a,individuals
p01,POINT (579166.7797354639 4742872.701240047),2019-01-25,d01,1,1.0
p03,POINT (548599.8757518252 4742700.214389254),2019-01-25,d03,1,5.0
p04,POINT (520909.74101159064 4714855.057674576),2019-02-02,d04,1,1.0
p05,POINT (532548.2491036941 4714899.834811135),2019-02-02,d05,1,2.0
p07,POINT (504710.40953213436 4705553.391880434),2019-02-02,d07,1,3.0
p08,POINT (654449.1355683347 4716189.584359531),2019-02-05,d08,1,5.0
p10,POINT (643532.6809191271 4716066.520437773),2019-02-05,d10,1,1.0
p11,POINT (629124.489233184 4706545.1055825595),2019-02-05,d11,1,3.0
p13,POINT (611976.8572001917 4696974.11096717),2019-02-05,d13,1,4.0
a01,POINT (528139.9399388507 4742605.103218502),2019-01-25,,0,
a04,POINT (583944.7391120853 4715164.174085637),2019-02-02,,0,
a06,POINT (556712.2789694845 4705820.357875261),2019-02-02,,0,
a07,POINT (542908.7732121213 4705758.320145254),2019-02-02,,0,
a10,POINT (602418.3104890977 4727522.559796217),2019-02-05,,0,
a12,POINT (634316.7518474526 4725157.921882257),2019-02-05,,0,
a15,POINT (585684.025164649 4733659.18854347),2019-03-03,,0,
a17,POINT (537417.9037039375 4733432.294338777),2019-03-03,,0,
a19,POINT (520569.6512735789 4733342.690281012),2019-03-03,,0,
